url,Content-Security-Policy,Strict-Transport-Security,X-XSS-Protection,X-Frame-Options,X-Content-Type-Options,Referrer-Policy,Cross-Origin-Opener-Policy,Permissions-Policy,Expect-CT,Cross-Origin-Embedder-Policy,Cross-Origin-Resource-Policy
http://bbq.about.com/,1,1,0,0,1,1,0,0,0,0,0
http://www.geocities.com/talesonandoffcourt/,1,1,1,1,1,1,0,0,0,0,0
http://prostudies.pratt.edu/,1,1,0,1,1,1,1,1,0,1,1
http://en.wikipedia.org/wiki/john_wycliff/,0,1,0,0,1,0,0,0,0,0,0
http://www.geocities.com/zeljko_cizmesija/,1,1,1,1,1,1,0,0,0,0,0
http://www.par-ky.com/,1,1,1,1,1,1,0,1,0,0,0
http://www.trimble.com/,0,1,1,1,1,1,0,0,0,0,0
http://www.simnet.is/kristinf/,1,1,0,1,0,0,0,0,0,0,0
http://www.hoshizakiamerica.com/,1,1,1,1,1,1,0,1,0,0,0
http://www.milano-pro-sport.com/,0,0,0,1,0,1,0,0,0,0,0
http://www.srtechnics.com/,1,1,0,1,1,1,1,1,0,1,1
http://www.horizonyachtcharters.com/,0,0,1,1,1,0,0,0,0,0,0
http://www.ansana.co.za/,0,1,0,0,1,0,0,0,0,0,0
http://www.geocities.com/,1,1,1,1,1,1,0,0,0,0,0
http://www.norcostco.com/,0,1,0,1,1,0,0,0,0,0,0
http://www.displaycentre.com/,0,1,0,0,1,0,0,0,0,0,0
http://www.meopta.com/,1,1,1,1,1,1,0,1,0,0,0
http://www.synaptive.net/en/,1,1,1,1,1,1,0,1,0,0,0
http://www.library.yale.edu/,0,1,0,1,1,0,0,0,0,0,0
http://www.methodisthealth.com/,1,1,1,1,1,1,0,1,0,0,0
http://www.alliedbingo.com/,1,1,1,1,1,0,0,0,0,0,0
http://www.cps-ecp.ca/,1,0,1,1,1,1,0,0,0,0,0
http://www.shwcase.com/,0,1,1,1,1,1,0,0,1,0,0
http://www.tug.org.in/,1,1,1,1,1,1,0,1,0,0,0
http://www.siderealdesigns.com/,1,1,1,0,1,1,0,1,0,0,0
http://msdn.microsoft.com/,1,1,1,1,1,1,1,0,0,0,1
http://www.americanstair.com/,0,1,1,1,1,1,0,1,0,0,0
http://thisisnews.pitas.com/,1,0,1,1,1,1,1,0,0,0,0
